Unnamed: 0,id,category,subcategory,title,abstract,provider
7136,N80198,health,nutrition,Why Can't Babies Have Honey?,Protecting your little one means knowing what's safe. So why can't babies have honey? The answer is in bacteria and how an immature digestive system handles it.,kidshealth
7321,N99846,finance,finance-real-estate,This stately home is having the ultimate yard sale,"Nicky Haslam's English country estate, The Hunting Lodge, is filled with precious treasures and almost all of them will be sold at auction next month.",facebook
7383,N13193,news,newspolitics,A local reporter grilled Mike Pompeo about Ukraine. He accused her of working for the DNC.,"Nancy Amons's interview of Pompeo has been described as ""gutsy,"" ""relentless"" and ""a master class in journalism.""",washingtonpost
7550,N7154,finance,finance-companies,Costco is going to extremes to keep its rotisserie chickens at $4.99,"At the back of Costco's stores, past the televisions, jewelry, jumbo-sized ketchup jugs and tubs of mixed nuts, is one of the retailer's most prized items: The rotisserie chicken that costs just $4.99.",wgntv
7597,N91319,news,factcheck,Trump is claiming he can't be impeached based on an inaccurate map,Trump claims an incorrect 2016 election map shows an impeachment inquiry is futile. It does not.,vox
7763,N72187,finance,finance-real-estate,"This Dreaded $8,000 Home Renovation Offers the Highest Return on Investment, According to Realtors","It can be a ""sticking point"" in a home sale, says Nick Gelfand, a realtor and appraiser in Longmeadow, Mass.",thefrugalbroker
7796,N59327,news,newsus,Sinkhole Swallows Port Authority Bus On Busy Street In Downtown Pittsburgh,"A massive sinkhole opened up in downtown Pittsburgh during the Monday morning rush hour, swallowing the back half of a Port Authority bus and nearly a car as well.",cbsnews
7973,N94639,lifestyle,lifestyledidyouknow,​20 Funny Things People in the 1970s Were Totally Guilty of Doing,Here are 25 things that we all thought were perfectly acceptable back in the 70s that most of us wouldn't even dream of doing today.,yahoo
8123,N93103,video,animals,Guilty dog attempts to cover up evidence after tearing couch,"Mya, an Australian Shepherds, attempts to cover up the damage after tearing her owner's couch.",dailymail.co.uk
8186,N11821,news,newsus,The stock market keeps setting new highs in a rally no one saw coming,"Of the 17 forecasters that CNBC tracks for S&P 500 price, just three have targets that are above where the broad-market index traded Monday.",nytimes
8318,N15899,autos,autosnews,TV reporter fired after climbing on cars live at auto show,"He climbed atop a Ford Thunderbird and 2020 Explorer, and dinged the door of another T-bird",thedrive
8445,N79591,autos,autosresearch,"Lightning Lap 2019: Every Car, Every Lap Time!",We break records at our Lightning Lap 13 event at Virginia International Raceway,pinterest
8625,N44451,entertainment,celebrity,Celebrity Headshots from Before They Were Famous,Prepare for some straight-up baby faces.,marieclaire
8805,N86394,lifestyle,lifestylebuzz,There's A Black Turtleneck Shortage Because People Are Dressing Up Like Elizabeth Holmes for Halloween,Are that many people dressing up as scammers for Halloween?,money
8937,N50653,news,newsworld,"A New Zealand man accidentally bought 1,000 chickens online for $0.96","Steve Morrow was initially only looking to buy ""a couple more"" hens for his bed and breakfast but accidentally won an online auction for 1,000 birds.",insider
9041,N54380,lifestyle,lifestylebuzz,This Wedding Photo of a Canine Best Man Captures Just How Deep a Dog's Love Truly Is,"When Mark Doublet made his dog, Marley, the best man at his wedding, he took his duties very seriously, and a photo of them together has gone viral.",bestlifeonline
9049,N4104,movies,movies-celebrity,Kevin Hart Spotted for the First Time Since Serious Car Accident: Pics,Kevin Hart has been spotted out and about after getting into a major car accident last month.,etonline
9073,N46496,travel,traveltripideas,It took me 96 hours to ride an Amtrak train from coast to coast. I'd do it again in a heartbeat.,"Four days aboard a cross-country Amtrak train was so much more relaxing than flying. If I had the time, I'd do it on every trip.",businessinsider.in
9186,N115611,travel,traveltripideas,American Towns That Used to Be Poor but Are Now Rich,"These cities gone from bust to boom thanks to their thriving arts scenes, vibrant downtown digs, and more. The post American Towns That Used to Be Poor but Are Now Rich appeared first on Reader's Digest.",lovemoney
9230,N129677,foodanddrink,foodnews,Applebee's Is Selling Boneless Wings For 25 Cents Each Because There Are So Many Sports On Right Now,Think of all the ranch.,delish
9548,N18601,tv,tv-celebrity,Singer Lauren Alaina Has Lost 25 Lbs. on Dancing with the Stars: 'None of My Clothes Fit',Lauren Alaina Has Lost 25 Lbs. on Dancing with the Stars,yahoo
9785,N118556,news,newscrime,Third person arrested on murder charge in Bowie High football player's death,"Jasvadte Mitchell was arrested in Arlington on Sunday on a murder charge in the shooting death of Anthony Strather, Arlington police tell WFAA.",cbsnews
9840,N47349,finance,personalfinance,Why Suze Orman keeps exactly $170 in her wallet,Personal finance expert Suze Orman believes that your wallet is a reflection of your attitude toward money. Here's exactly what she keeps in hers.,headtopics
9842,N98611,lifestyle,advice,My Husband and I Have Sex Once a Month. Is It Enough?,"My husband and I are extremely happy, but we only have sex once a month. Is this normal? Should I be having more?",psychologytoday
10080,N5697,finance,finance-retirement,Should you retire abroad? 13 things to consider,"Maybe you're excited to put your knowledge of a foreign language to the test. Maybe you can only afford the waterfront retirement property you've always wanted if you move outside of the U.S. Whatever your reasons for retiring abroad, the change can be challenging   here are important things to consider first.",blog.cheapism
10259,N38627,sports,football_nfl,"Best, worst QB performances from NFL Week 7","Several quarterbacks had banner days on Sunday, while others will be looking to quickly forget Week 7.",sportsnaut
10279,N117203,sports,football_nfl,Rob Gronkowski says he's not coming back this season,I am very satisfied where I am at.,abcnews
10361,N71586,autos,autosnews,Why Do Americans Drive Automatic But Most of Europe Drives Manual?,"Fewer Americans are learning to drive stick shifts, but Europeans prefer them. These are the reasons why. The post Why Do Americans Drive Automatic But Most of Europe Drives Manual? appeared first on Reader's Digest.",rd
10864,N130251,lifestyle,lifestylehomeandgarden,50 Home Décor Horrors You Can't Look Away From,"Sometimes truth is stranger than fiction, and these home decor doozies are prime examples.",moviesignature.co.uk
10935,N34885,lifestyle,lifestylebeauty,50+ Ways to Wear Fall's Hottest Hair Colors,"Hello, nirvana blonde and cinnamon ombré.",pinterest
11864,N92439,news,newsus,Shots fired at Dallas vigil for Greenville shooting victim,A shooting happened after the vigil for Kevin Berry Sunday night in the parking lot of St. Augustine Park. Berry was one of the people shot and killed in a shooting at a homecoming party in Greenville Saturday night.,nbcdfw
11970,N59351,lifestyle,lifestylecleaningandorganizing,12 Surprising Things You Should Never Clean with Water,"Wait! Before you fill up your cleaning bucket with good old H2O, think first about what you plan on cleaning. Though water may be your go-to for cleanup, it can damage or shorten the life of certain furnishings and fixtures. Read on to find out which household objects should never be subjected to water.",bobvila
12224,N66812,lifestyle,lifestyledidyouknow,All The Ways Life As A Teen Is Different Than It Was 50 Years Ago,The times they have a-changed.,redbookmag
12258,N86691,video,animals,1200-pound bison takes care of every animal on farm,This massive bison went from a shy loner to the farm's lovable matriarch.,pinterest
12498,N70910,news,newspolitics,"Elijah Cummings to be remembered by Obama, Clintons at funeral",Rep. Elijah Cummings' legacy and life will continue to be honored Friday morning.,pbs
12659,N128965,tv,tvnews,"'Wheel Of Fortune' Guest Delivers Hilarious, Off The Rails Introduction","We'd like to solve the puzzle, Pat: Blair Davis' loveless marriage? On Monday, ""Wheel of Fortune"" welcomed as a new contestant trucking business owner Blair Davis, who offered a biting introduction for himself. When host Pat Sajak asked the man from Cardiff, California, about his family, Davis plunged into one of the darkest personal summaries the show has likely ever heard. ""I've been trapped in a loveless marriage for the last 12 years to an...",hotnewhiphop
12832,N49570,news,newsus,"Students wanted to win a water-gun fight   so they hacked thousands of records, school says","They obtained GPAs, SAT scores, phone numbers, addresses and more, administrators say. Now, they could face criminal charges.",washingtonpost
12898,N104779,sports,football_nfl,"Earl Thomas reportedly yells at Pete Carroll, then ignores him postgame",,yahoo
13224,N106624,health,nutrition,How Much Do You Know About the Health Benefits of Turmeric?,Take this quick quiz to find out.,hopkinsmedicine
13522,N48177,health,nutrition,Here's Exactly What Kristen Bell Eats in a Day to Make 39 Look Like 29,"Find out how the actress, entrepreneur, activist and mom of two ages with grace.",eatingwell
13550,N78719,lifestyle,lifestylebuzz,"A heartbreaking photo of a dog riding a bus alone went viral, and now people want to adopt her","A kennel is seeking the dog's owner. If no one comes forward, she will be put up for adoption.",insider
13737,N118057,entertainment,entertainment-celebrity,Iconic couples of the decade,We're rounding up the most significant celebrity couples of the last 10 years.,wonderwall
14007,N35046,tv,tv-celebrity,Here's What Tori Spelling Would Love to See If 'BH90210' Gets a Season 2 (Exclusive),The actress opened up to ET on Thursday about the future of her meta revival series.,etonline
14242,N82282,finance,finance-saving-investing,Every State's Pension Crisis Ranked,"As members of the baby boom generation age into retirement   approximately 10,000 Americans turn 65 every day   more and more are relying on pension benefits for their main source of income.",247wallst
14469,N13178,weather,weathertopstories,"Nestor makes landfall on Florida island, heads north","TALLAHASSEE, Fla. (AP)   Nestor made landfall Saturday as a post-tropical cyclone after the former tropical storm spawned a tornado that damaged homes and a school in central Florida but spared an area of the Panhandle devastated one year ago by Hurricane Michael. The storm made landfall on St. Vincent Island, a nature preserve just off Florida's northern Gulf Coast in a lightly populated area of the state, the National Hurricane Center said....",theledger
14695,N82405,entertainment,celebrity,"Week in celebrity photos for Oct. 28-Nov. 1, 2019",See what the stars were up to during the last week of October.,essence
14765,N60882,sports,baseball_mlb,The decisions that have backfired on the Yankees in the ALCS,,yahoo
14793,N13661,autos,autosownership,15 Things You're Doing to Your Car That Mechanics Wouldn't,"Yes, you need to ""warm up"" your car. The post 15 Things You're Doing to Your Car That Mechanics Wouldn't appeared first on Reader's Digest.",rd
14996,N31043,news,newsus,Soldier wounded searching for Bergdahl dies,Allen's unit was ambushed when they were looking for Bergdahl after he deserted his base in 2009,cnn
15047,N31649,finance,finance-career,The worst jobs in America,Americans are increasingly miserable in their jobs. Stacker has looked at data from PayScale and the Bureau of Labor Statistics to determine the 50 worst jobs in the United States.,usatoday
15388,N32369,news,newsworld,U. S.-allied Kurds strike deal to bring Assad's Syrian troops back into Kurdish areas,The deal between the Syrian Democratic Forces and the government of President Bashar al-Assad further dimmed the prospect of continued U.S. presence in Syria.,washingtonpost
15399,N7732,autos,autosmotorcycles,Chasing a Lamborghini Huracán Evo With a 200-MPH Ducati for 1200 Miles,"Some Italian manufacturers just don't know what the word ""comfort"" means.",roadandtrack
15642,N17291,autos,autossports,"Whoa, Pony! 2020 Ford Mustang Shelby GT500 Lays Down 10.614-Second Quarter-Mile","Check out the trap speeds and 60-foot times, too.",motortrend
15910,N72590,news,newsfactcheck,Fact Checker: Trump's shiny new talking point about income growth,"The president is touting numbers that favorably compare his record to Obama and Bush, but he's cherry-picking the data.",washingtonpost
16309,N114874,health,weightloss,"Katrina Lost 40 Pounds in a Year by Running, Strength Training, and Ditching Processed Foods","Katrina went from never working out to running, and over time, she had lost nearly 60 pounds.",popsugar
16320,N127968,news,newspolitics,Trump 'meltdown' at White House meeting on Syria sends Democrats storming out,President Donald Trump found himself increasingly isolated Wednesday as members of his own party decried the withdrawal of U.S. troops from northern Syria - a move that cleared the way for a Turkish invasion - and top administration officials set off for an uncertain diplomatic mission to Ankara to negotiate a cease-fire. Democratic leaders stormed out of a White House meeting ...,cnbc
16558,N3948,lifestyle,lifestylebuzz,Strange Dog Shows Up On Woman's Lawn   And Seems To Recognize Her,Kate Howard was sitting outside her home one afternoon after a memorial service when something amazing happened.,animalchannel.co
16709,N128881,health,weightloss,Gradual lifestyle changes helped this woman lose 75 pounds and keep it off,Jess Dukes says her weight loss journey began with a tiny change: swapping sugar and cream in her coffee with Stevia and almond milk.,nbcnews
17213,N11841,weather,weathertopstories,Tornado watch: More than 12 million Americans under a tornado watch on Halloween,"More than 12 million US residents were living in areas under a tornado watch Thursday, forecasters with the National Weather Service said.",cnn
17280,N129610,news,newspolitics,Top Republican Defends Vindman Amid Flurry of Criticism From Trump Allies,"Representative Liz Cheney of Wyoming, came to the defense of the top Ukraine expert on President Donald Trump's National Security Council.",newsweek
17525,N121820,autos,autosclassics,Greatest eBay Listing Of 2019? Or In All Of Human History? You Decide!,This clever eBay ad made our day!,buy.motorious
17545,N98164,finance,markets,Trump education official to resign and call for mass student loan forgiveness,"A senior student-loan official in the Trump administration said he would resign Thursday and endorse canceling most of the nation's outstanding student debt, calling the student-loan system ""fundamentally broken.""",wsj
17587,N24129,movies,movienews,James Cromwell Arrested While Protesting Dog Laboratory,The actor was charged with hindering proceedings by disorderly conduct at Texas A&M University.,hollywoodreporter
17712,N41632,finance,personalfinance,Here's how rising car prices can hurt average Americans,"Car prices are rising rapidly, but Americans' wages have been slow to increase for decades. As a result, many take out long-term auto loans that can take years to pay off.",cnbc
18010,N128909,sports,football_nfl,"Week 7 winners, losers: Aaron Rodgers now in MVP race; Mitchell Trubisky looks lost","Aaron Rodgers' big game vaults him into the MVP race. Meanwhile in Chicago, it might be time for the Bears to reconsider Mitchell Trubisky's future.",usatoday
18264,N47169,health,health-news,High school sports with highest concussion rates revealed in new study,"The rates of football practice concussions and recurrent concussions across all sports have gone down in recent years, according to a new study published in the journal Pediatrics. The bad news: concussion rates increased in high school football games.",cnn
18459,N43428,news,newsus,Jimmy Carter hospitalized after fall at Georgia home,Spokeswoman says former President Jimmy Carter hospitalized with a pelvic fracture after falling his home.,cnn
18476,N73122,lifestyle,lifestyleroyals,Duchess Meghan Describes 'Really Challenging' Life as New Royal: I'm Not OK,Duchess Meghan Describes 'Really Challenging' Life as New Royal: I'm Not OK,usmagazine
18489,N59447,health,health-news,Life expectancy for American men keeps dropping,"Life expectancy for U.S. men slipped for a third straight year, according to new data from the National Center for Health Statistics.",cdc
18616,N9892,finance,markets,The Permian Basin is facing its biggest threat yet,Investors are tiring of America's fracking revolution.,bloomberg
18718,N41021,sports,more_sports,Chiefs Thursday injury report vs. Vikings: Chris Jones upgraded to full participant,Jones could play for the first time since Week 5 on Sunday against the Minnesota Vikings.,usatoday
19021,N115007,finance,markets,Goldman predicts the Fed will make 2 big changes next week,"The Fed likely will finish its ""mid-cycle adjustment"" and remove language that it will ""act as appropriate to sustain the expansion,"" according to Goldman Sachs.",cnbc
19275,N748,finance,finance-retirement,This waterfront city is the top place in America to retire,"Plus, 4 affordable alternatives on the beach",realestate.usnews
19611,N60489,lifestyle,lifestylehomeandgarden,Fall Pest Prevention Tips You Need to Know,Keep pests out of your house as the season turns to fall with these prevention tips.,familyhandyman
19649,N15471,tv,tv-celebrity,Mad About You Star Helen Hunt Taken to Hospital After Car Is T-Boned and Rolls Over in Accident,Helen Hunt Rushed to Hospital After Car Gets T-Boned in Accident,people
20016,N84135,foodanddrink,tipsandtricks,"I Learned You Can Freeze Cooked Rice, and It's Saved Me So Much Time","This easy, time-saving trick means you can have perfectly cooked rice, along with other grains and beans, ready to go at a moment's notice.",myrecipes
20055,N49347,news,newsus,"Bill Macy, Bea Arthur's Husband on 'Maude,' Dies at 97",Norman Lear saw him choking on a chicken bone and brought him to Hollywood. The actor also appeared in 'My Favorite Year' and 'The Late Show.',cbc.ca
20339,N121991,video,animals,Pumpkin-Head! Photographer Captured Squirrels Getting In The Halloween Spirit,This squirrel is certainly embracing the Halloween season by being a pumpkin head! Buzz60's Mercer Morrison has the story.,yahoo
20823,N22328,lifestyle,lifestyleroyals,Kate Middleton's Pakistan Tour Wardrobe Mixes Tradition and Modernity,"The royal tour of Pakistan is in full swing, and Kate Middleton has already given us some memorable looks.",popsugar
20910,N65119,news,newsus,Felicity Huffman Is Scheduled to Be Released from Prison on October 27 After Serving 13 Days,Felicity Huffman's Release from Prison Set for Oct. 27,people
21291,N54043,news,newscrime,The Latest: Authorities identify 2 killed in Texas shooting,The Latest on the shooting at an off-campus college party in Texas that left two dead (all times local): 10:10 a.m. Authorities are releasing the identities of the two men who were killed when a gunman opened fire at an off-campus college party in Texas. The Hunt County Sheriff's Office said Monday that the two men killed were 23-year-old Kevin Barry Jr. of Dallas and 23-year-old Byron Cravens Jr. of Arlington. The...,abcnews
21562,N104737,movies,movies-celebrity,Kevin Spacey Won't Be Charged in Sexual Assault Case After Accuser Dies,"The Los Angeles County District Attorney's Office has formally dropped a case against actor Kevin Spacey, after the accuser died.",forbes
21693,N27779,news,newspolitics,Giuliani 'disappointed' in Bolton amid claim he told aide to alert lawyer to Ukraine probe,"Rudy Giuliani said he was ""disappointed"" in former National Security Adviser John Bolton, after reports emerged that he had called Giuliani a ""hand grenade.""",foxnews
21952,N66666,sports,baseball_mlb,MLB bans women who flashed their chests behind home plate during Game 5 of World Series,MLB has indefinitely banned two women who flashed their chests on television during the seventh inning of Game 5 of the World Series on Sunday night.,usatoday
22109,N124752,entertainment,celebrity,"Melanie Griffith, 62, shows off her insane figure in lingerie selfie, plus more news","Melanie Griffith looks more stunning than ever in lingerie selfie, plus more celebrity news for Oct. 30, 2019.",yahoo
22432,N128643,tv,tv-celebrity,"Miguel Cervantes' Wife Reveals Daughter, 3, 'Died in My Arms' After Entering Hospice Care",Miguel Cervantes' Wife Reveals Daughter 'Died in My Arms' After Hospice Care,people
22469,N30161,music,music-celebrity,"Elton John calls Michael Jackson 'mentally ill,' Tina Turner a 'nightmare' in new book","In his candid new autobiography ""Me,"" Elton John opens up about his friendships with Freddie Mercury and John Lennon, and past tiff with Tina Turner.",usatoday
22705,N28597,lifestyle,lifestyleroyals,"Harry and Meghan Are 'Bruised and Vulnerable,' Documentary Journalist Says","Harry and Meghan Are 'Bruised and Vulnerable,' Documentary Journalist Says",people
22982,N71496,music,musicnews,"Kenny Dixon, Drummer for Kane Brown, Dies in Car Accident","Drummer Kenny Dixon, who performed in Kane Brown's band, was killed in a car crash.",usatoday
23707,N90482,health,nutrition,30 Foods That Are Never Worth The Calories,What a waste of stomach space!,eatthis
24084,N49839,finance,markets,China asks WTO for $2.4 billion sanctions against U.S. in latest clash,China asks WTO for $2.4 billion sanctions against U.S. in latest clash,reuters
24120,N67533,sports,football_nfl,Dez Bryant plans to reach out to NFL teams in two weeks,The former Cowboys' WR1 is just looking for a chance.,larrybrownsports
24165,N125042,autos,autosbuying,Porsche will let buyers skip the dealership and buy cars online,A new pilot program launching with 25 Porsche dealers will give potential owners a totally different purchasing experience.,cnet
24327,N128648,entertainment,celebrity,"Lady Gaga, Jim Carrey, Christina Hendricks and Pete Davidson are all single again, plus more celeb love life news for late October 2019","A wave of pre-holiday breakups rock Hollywood, plus more celeb love life updates for late October 2019.",wonderwall
24513,N110755,sports,football_nfl,"Mac Engel: As long as these results are acceptable, Dallas Cowboys will continue to be losers","EAST RUTHERFORD, N.J. - No one will be fired today, of course, and some of the excuses are valid. But Jason Garrett and his team are losers. Everyone with the Dallas Cowboys is so wealthy and comfortable that they fear nothing, not even losing a game to the 0-4 New York Jets. Winning is the goal, but it's gravy. The Cowboys, the team that was at least better than the worst of the NFL, can no ...",star-telegram
24590,N48412,lifestyle,lifestylebuzz,Can you spot the hidden gift in this brainteaser in under 11 seconds?,GiftsOnline4U created a holiday-themed brainteaser with a wrapped present hidden among bows. Can you spot the gift box?,insider
24695,N81899,sports,football_ncaa,"Winners and losers from Week 8 in college football led by Wisconsin, Oregon","There were highs and lows during Week 8 of the college football seasons. A look at the winners and losers, led by Wisconsin and Oregon.",usatoday
25167,N119674,tv,tv-celebrity,John Witherspoon Dies: Comedian & 'Friday' Star Was 77,"John Witherspoon, an actor-comedian who for decades made audiences laugh in television shows and films, including the hit Friday franchise, died suddenly at his home today. He was 77. ""It is with deepest sorrow that we can confirm our beloved husband and father, John Witherspoon, one of the hardest working men in show business, died",cnn
25518,N14979,sports,football_nfl,"Convicted ex-NFL tight end Kellen Winslow II has CTE symptoms, his attorneys say",Attorneys for former NFL tight end Kellen Winslow II will present evidence of his cognitive impairment before his February sentencing for sex crimes.,npr
25791,N52842,sports,more_sports,"Lou Palmer, ESPN's first 'SportsCenter' anchor, dies at 83","Two of Palmer's original colleagues at the network   Chris Berman and Bob Ley   remembered his contributions as ""a true ESPN original.""",espn
25934,N94872,lifestyle,lifestylebuzz,This Dog's Terrifyingly Cute 'Killer' Costume Just Won Halloween,"This pup's Halloween costume is a unique blend of ""AAH!"" and ""AWW!""",thedodo
